habitaciones,baños,parqueaderos,area_construida,area_privada,estrato,estado,antiguedad,administracion,precio_m2,Ascensor,Circuito cerrado de TV,Parqueadero Visitantes,Portería / Recepción,Zonas Verdes,Salón Comunal,Balcón,Barra estilo americano,Calentador,Chimenea,Citófono,Cocina Integral,Terraza,Vigilancia,Parques cercanos,Estudio,Patio,Depósito / Bodega,nombre,ubicacion,precio
3,2,0,"60,2 m²","60,2 m²",3,No definida,más de 30 años,No definida,"$ 3.189.368,77*m²",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Apartamento,Jardin del norte,192000000
5,4,2,980 m²,980 m²,4,No definida,más de 30 años,No definida,"$ 2.193.877,55*m²",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Casa,La Candelaria,2150000000
4,3,2,151 m²,151 m²,4,No definida,más de 30 años,$ 700.000 COP,"$ 3.642.384,11*m²",0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,Casa,Cedritos,550000000
3,2,2,603 m²,0 m²,6,No definida,No definida,No definida,"$ 4.892.205,64*m²",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Apartamento,SANTA BARBARA,2950000000
3,2,2,87 m²,87 m²,6,Excelente,16 a 30 años,$ 457.000 COP,"$ 5.402.298,85*m²",1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,Apartamento,Santa barbara,470000000
3,3,2,200 m²,0 m²,5,No definida,No definida,No definida,$ 5.500.000*m²,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,Apartamento,DESCONOCIDO,1100000000
3,3,1,88 m²,120 m²,4,No definida,más de 30 años,$ 350.000 COP,"$ 6.818.181,82*m²",0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,Casa,Cedritos,600000000
10,7,4,425 m²,425 m²,3,No definida,16 a 30 años,No definida,"$ 2.023.529,41*m²",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Casa,Boyaca Real,860000000
3,2,0,123 m²,123 m²,3,No definida,9 a 15 años,No definida,"$ 3.658.536,59*m²",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Casa,Engativá,450000000
3,2,2,102 m²,98 m²,5,Remodelado,más de 30 años,$ 387.000 COP,"$ 3.725.490,2*m²",0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,Apartamento,Niza,380000000
2,2,1,"101,4 m²","101,4 m²",5,No definida,16 a 30 años,$ 216.000 COP,"$ 4.733.727,81*m²",0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,Apartamento,Pasadena,480000000
3,1,0,48 m²,48 m²,2,Excelente,1 a 8 años,$ 60.000 COP,"$ 3.395.833,33*m²",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Apartamento,Bosa La Libertad,163000000
4,4,2,267 m²,267 m²,4,No definida,más de 30 años,$ 215.000 COP,"$ 3.707.865,17*m²",0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,Casa,Cedro Golf,990000000
3,3,2,180 m²,0 m²,6,No definida,No definida,No definida,"$ 6.388.888,89*m²",1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Apartamento,DESCONOCIDO,1150000000
3,2,1,60 m²,"59,7 m²",3,Excelente,9 a 15 años,$ 165.000 COP,"$ 3.833.333,33*m²",1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,Apartamento,Nuevo Techo,230000000
8,6,3,350 m²,253 m²,4,Bueno,16 a 30 años,No definida,"$ 3.854.285,71*m²",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,Casa,Quinta camacho,1349000000
3,2,1,70 m²,70 m²,4,No definida,16 a 30 años,$ 275.000 COP,"$ 4.428.571,43*m²",0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,Apartamento,Usaquén,310000000
1,2,1,68 m²,68 m²,5,No definida,9 a 15 años,$ 368.000 COP,"$ 5.588.235,29*m²",1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,Apartamento,Santa barbara,380000000
3,3,2,145 m²,145 m²,6,Bueno,16 a 30 años,$ 1.000.000 COP,"$ 6.758.620,69*m²",1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,Apartamento,Chicó,980000000
2,2,2,132 m²,82 m²,4,No definida,1 a 8 años,$ 350.000 COP,"$ 5.265.151,52*m²",1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Apartamento,Cedritos,695000000
4,3,2,94 m²,116 m²,4,Excelente,16 a 30 años,$ 480.000 COP,"$ 4.202.127,66*m²",0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,Casa,Santa helena,395000000
4,6,4,342 m²,252 m²,6,Excelente,16 a 30 años,No definida,"$ 4.941.520,47*m²",1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Apartamento,Unicentro Bogotá,1690000000
1,1,1,40 m²,0 m²,4,Excelente,1 a 8 años,$ 400.000 COP,$ 9.525.000*m²,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,Apartamento,Alcazares,381000000
3,3,0,106 m²,106 m²,3,Bueno,16 a 30 años,$ 1 COP,"$ 2.452.830,19*m²",0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,Casa,Gran granada,260000000
2,2,0,67 m²,0 m²,4,Excelente,16 a 30 años,$ 391.000 COP,"$ 6.014.925,37*m²",1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Apartamento,La salle,403000000
